head entity id,Relation_id,tail entity id
0,1,1736
1736,1,0
2,1,2027
2027,1,2
3,1,1663
1663,1,3
3,1,1676
1676,1,3
3,1,2034
2034,1,3
3,1,2037
2037,1,3
18,1,1758
1758,1,18
19,1,1676
1676,1,19
29,1,1712
1712,1,29
34,1,1757
1757,1,34
39,1,1925
1925,1,39
42,1,1957
1957,1,42
49,1,1716
1716,1,49
55,1,1611
1611,1,55
55,1,1651
1651,1,55
55,1,1664
1664,1,55
55,1,1767
1767,1,55
55,1,1844
1844,1,55
55,1,1897
1897,1,55
55,1,1973
1973,1,55
57,1,2023
2023,1,57
58,1,1626
1626,1,58
58,1,1822
1822,1,58
59,1,1627
1627,1,59
60,1,1807
1807,1,60
60,1,1810
1810,1,60
61,1,1787
1787,1,61
62,1,1910
1910,1,62
63,1,1979
1979,1,63
64,1,1751
1751,1,64
64,1,1767
1767,1,64
64,1,1859
1859,1,64
65,1,1803
1803,1,65
65,1,1946
1946,1,65
67,1,1747
1747,1,67
68,1,1729
1729,1,68
69,1,1716
1716,1,69
73,1,1825
1825,1,73
73,1,1962
1962,1,73
74,1,1846
1846,1,74
75,1,1888
1888,1,75
76,1,1771
1771,1,76
77,1,1887
1887,1,77
78,1,1796
1796,1,78
79,1,1885
1885,1,79
80,1,1699
1699,1,80
81,1,1932
1932,1,81
84,1,1711
1711,1,84
85,1,1972
1972,1,85
88,1,1900
1900,1,88
89,1,1992
1992,1,89
90,1,1843
1843,1,90
90,1,2061
2061,1,90
91,1,1996
1996,1,91
92,1,1945
1945,1,92
92,1,1960
1960,1,92
93,1,1667
1667,1,93
93,1,1719
1719,1,93
93,1,1827
1827,1,93
93,1,2057
2057,1,93
94,1,1713
1713,1,94
95,1,2067
2067,1,95
97,1,1824
1824,1,97
99,1,1642
1642,1,99
100,1,1807
1807,1,100
101,1,1639
1639,1,101
101,1,1653
1653,1,101
102,1,1763
1763,1,102
102,1,1765
1765,1,102
102,1,2038
2038,1,102
103,1,1619
1619,1,103
103,1,1869
1869,1,103
104,1,1684
1684,1,104
104,1,1752
1752,1,104
105,1,1702
1702,1,105
106,1,1640
1640,1,106
107,1,1788
1788,1,107
108,1,1835
1835,1,108
110,1,1793
1793,1,110
111,1,1906
1906,1,111
111,1,2029
2029,1,111
111,1,2058
2058,1,111
111,1,2066
2066,1,111
112,1,1932
1932,1,112
112,1,2010
2010,1,112
114,1,1662
1662,1,114
115,1,2040
2040,1,115
119,1,2013
2013,1,119
119,1,2014
2014,1,119
120,1,1825
1825,1,120
120,1,1833
1833,1,120
121,1,1860
1860,1,121
122,1,1845
1845,1,122
124,1,1867
1867,1,124
125,1,1793
1793,1,125
126,1,1624
1624,1,126
127,1,2066
2066,1,127
128,1,1625
1625,1,128
128,1,1708
1708,1,128
128,1,1997
1997,1,128
129,1,1697
1697,1,129
129,1,1723
1723,1,129
129,1,1745
1745,1,129
129,1,1886
1886,1,129
130,1,1875
1875,1,130
130,1,2051
2051,1,130
131,1,1978
1978,1,131
132,1,1741
1741,1,132
132,1,1891
1891,1,132
134,1,1707
1707,1,134
135,1,1653
1653,1,135
136,1,1751
1751,1,136
136,1,1779
1779,1,136
136,1,1807
1807,1,136
136,1,1811
1811,1,136
136,1,1821
1821,1,136
137,1,1645
1645,1,137
138,1,1622
1622,1,138
138,1,1644
1644,1,138
138,1,1746
1746,1,138
138,1,1833
1833,1,138
138,1,1880
1880,1,138
138,1,2018
2018,1,138
140,1,1683
1683,1,140
141,1,1631
1631,1,141
143,1,1849
1849,1,143
144,1,1623
1623,1,144
144,1,1669
1669,1,144
144,1,1711
1711,1,144
144,1,1726
1726,1,144
144,1,1728
1728,1,144
144,1,1777
1777,1,144
144,1,1781
1781,1,144
144,1,1786
1786,1,144
144,1,1790
1790,1,144
144,1,1793
1793,1,144
144,1,1794
1794,1,144
144,1,2034
2034,1,144
144,1,2064
2064,1,144
145,1,1859
1859,1,145
146,1,1970
1970,1,146
