head entity id	Relation_id	tail entity id
1157	4	17543
17543	4	1157
1158	4	15031
15031	4	1158
1158	4	15582
15582	4	1158
1159	4	15911
15911	4	1159
1159	4	19832
19832	4	1159
1161	4	15599
15599	4	1161
1161	4	15599
15599	4	1161
1161	4	15599
15599	4	1161
1161	4	15906
15906	4	1161
1161	4	16833
16833	4	1161
1161	4	17007
17007	4	1161
1161	4	17270
17270	4	1161
1161	4	17270
17270	4	1161
1161	4	17270
17270	4	1161
1161	4	17270
17270	4	1161
1161	4	17270
17270	4	1161
1161	4	17270
17270	4	1161
1161	4	17286
17286	4	1161
1161	4	17286
17286	4	1161
1162	4	14442
14442	4	1162
1162	4	16308
16308	4	1162
1162	4	17142
17142	4	1162
1162	4	17322
17322	4	1162
1162	4	17339
17339	4	1162
1162	4	17416
17416	4	1162
1162	4	17345
17345	4	1162
1163	4	16732
16732	4	1163
1164	4	14918
14918	4	1164
1164	4	15031
15031	4	1164
1164	4	15031
15031	4	1164
1164	4	15031
15031	4	1164
1164	4	15041
15041	4	1164
1164	4	16544
16544	4	1164
1164	4	16813
16813	4	1164
1164	4	17485
17485	4	1164
1164	4	17620
17620	4	1164
1164	4	19207
19207	4	1164
1165	4	16701
16701	4	1165
1166	4	14509
14509	4	1166
1166	4	15001
15001	4	1166
1166	4	15010
15010	4	1166
1166	4	15031
15031	4	1166
1166	4	15031
15031	4	1166
1166	4	15911
15911	4	1166
1166	4	15911
15911	4	1166
1166	4	15911
15911	4	1166
1166	4	15911
15911	4	1166
1166	4	15912
15912	4	1166
1166	4	16086
16086	4	1166
1166	4	16435
16435	4	1166
1166	4	16701
16701	4	1166
1166	4	16724
16724	4	1166
1166	4	17311
17311	4	1166
1166	4	17340
17340	4	1166
1166	4	17355
17355	4	1166
1166	4	17728
17728	4	1166
1166	4	17730
17730	4	1166
1166	4	19173
19173	4	1166
1166	4	19206
19206	4	1166
1166	4	19206
19206	4	1166
1166	4	19206
19206	4	1166
1166	4	19819
19819	4	1166
1167	4	15912
15912	4	1167
1167	4	15912
15912	4	1167
1167	4	15912
15912	4	1167
1167	4	15918
15918	4	1167
1167	4	16833
16833	4	1167
1167	4	17244
17244	4	1167
1169	4	16686
16686	4	1169
1170	4	15582
15582	4	1170
1170	4	15910
15910	4	1170
1171	4	15582
15582	4	1171
1172	4	14929
14929	4	1172
1172	4	16103
16103	4	1172
1173	4	14164
14164	4	1173
1173	4	14167
14167	4	1173
1173	4	14914
14914	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14915
14915	4	1173
1173	4	14929
14929	4	1173
1173	4	14929
14929	4	1173
1173	4	14929
14929	4	1173
1173	4	14929
14929	4	1173
1173	4	14929
14929	4	1173
1173	4	14929
14929	4	1173
1173	4	15031
15031	4	1173
1173	4	15031
15031	4	1173
1173	4	15547
15547	4	1173
1173	4	15590
15590	4	1173
1173	4	15591
15591	4	1173
1173	4	16271
16271	4	1173
1173	4	16358
16358	4	1173
1173	4	16358
16358	4	1173
1173	4	16371
16371	4	1173
1173	4	16668
16668	4	1173
1173	4	16736
16736	4	1173
1173	4	16807
16807	4	1173
1173	4	17574
17574	4	1173
1173	4	17587
17587	4	1173
1173	4	19656
19656	4	1173
1174	4	16701
16701	4	1174
1174	4	16833
16833	4	1174
1174	4	16834
16834	4	1174
1174	4	16834
16834	4	1174
1175	4	16898
16898	4	1175
1175	4	17567
17567	4	1175
1175	4	17567
17567	4	1175
1175	4	17740
17740	4	1175
1175	4	17741
17741	4	1175
1175	4	17741
17741	4	1175
1176	4	15516
15516	4	1176
1176	4	16141
16141	4	1176
1176	4	16561
16561	4	1176
1176	4	19189
19189	4	1176
1176	4	19866
19866	4	1176
1177	4	15031
15031	4	1177
1177	4	15604
15604	4	1177
1178	4	15582
15582	4	1178
1179	4	17664
17664	4	1179
1180	4	15911
15911	4	1180
1181	4	17244
17244	4	1181
1182	4	14166
14166	4	1182
1182	4	14217
14217	4	1182
1182	4	14218
14218	4	1182
1182	4	14219
14219	4	1182
1182	4	14220
14220	4	1182
1182	4	14221
14221	4	1182
1182	4	14222
14222	4	1182
1182	4	14223
14223	4	1182
1182	4	14225
14225	4	1182
1182	4	14226
14226	4	1182
1182	4	14227
14227	4	1182
1182	4	14229
14229	4	1182
1182	4	14230
14230	4	1182
1182	4	14231
14231	4	1182
1182	4	14232
14232	4	1182
1182	4	14235
14235	4	1182
1182	4	14236
