circRNA_id,miRNA_id
0,1736
2,2027
3,1663 1676 2034 2037
18,1758
19,1676
29,1712
34,1757
39,1925
42,1957
49,1716
55,1611 1651 1664 1767 1844 1897 1973
57,2023
58,1626 1822
59,1627
60,1807 1810
61,1787
62,1910
63,1979
64,1751 1767 1859
65,1803 1946
67,1747
68,1729
69,1716
73,1825 1962
74,1846
75,1888
76,1771
77,1887
78,1796
79,1885
80,1699
81,1932
84,1711
85,1972
88,1900
89,1992
90,1843 2061
91,1996
92,1945 1960
93,1667 1719 1827 2057
94,1713
95,2067
97,1824
99,1642
100,1807
101,1639 1653
102,1763 1765 2038
103,1619 1869
104,1684 1752
105,1702
106,1640
107,1788
108,1835
110,1793
111,1906 2029 2058 2066
112,1932 2010
114,1662
115,2040
119,2013 2014
120,1825 1833
121,1860
122,1845
124,1867
125,1793
126,1624
127,2066
128,1625 1708 1997
129,1697 1723 1745 1886
130,1875 2051
131,1978
132,1741 1891
134,1707
135,1653
136,1751 1779 1807 1811 1821
137,1645
138,1622 1644 1746 1833 1880 2018
140,1683
141,1631
143,1849
144,1623 1669 1711 1726 1728 1777 1781 1786 1790 1793 1794 2034 2064
145,1859
146,1970
147,1698 1860
149,1998
150,1877 1941 2039
151,1695
152,1737
153,2041
154,1630 1667 1787
155,1839
157,1938
158,1644 1662
159,2008
160,1728 1759 1791 1823 2033 2059 2060
161,1641
162,1807 1853
163,1859
164,1884
165,1652
166,1859
167,1724
168,1847
169,1892
171,1802
172,1717 1935
173,1756
175,1876
176,1711
178,1687
180,1689
181,1739
182,1936
183,1721
185,1838
186,1740
187,1963
188,1662
189,1666
190,1829 1866
191,1771
192,2059
193,1804
194,1630
196,1857 1965 1986
197,1677 1711 1742 1814 1861 1868 1927
198,1942
200,1804
201,1891
203,1713 1833
204,2009 2070
205,1661
206,1825 1998 2026
207,1645 1659 1711 1713 1773 1902 1925
208,1939 1988 2017
209,2053
210,1755
211,1696
212,1721
213,1967
214,2019
215,1813
216,1656 1801 1831 1868
217,1679
227,1936
228,2059
233,1891
235,1859
236,1711
243,1635 1894
244,2023
246,1722
251,1748
257,1850 1998
259,1787
