disease_id	lncRNA_id
1157	17543
1158	15031 15582
1159	15911 19832
1161	15599 15599 15599 15906 16833 17007 17270 17270 17270 17270 17270 17270 17286 17286
1162	14442 16308 17142 17322 17339 17345 17416
1163	16732
1164	14918 15031 15031 15031 15041 16544 16813 17485 17620 19207
1165	16701
1166	14509 15001 15010 15031 15031 15911 15911 15911 15911 15912 16086 16435 16701 16724 17311 17340 17355 17728 17730 19173 19206 19206 19206 19819
1167	15912 15912 15912 15918 16833 17244
1169	16686
1170	15582 15910
1171	15582
1172	14929 16103
1173	14164 14167 14914 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14915 14929 14929 14929 14929 14929 14929 15031 15031 15547 15590 15591 16271 16358 16358 16371 16668 16736 16807 17574 17587 19656
1174	16701 16833 16834 16834
1175	16898 17567 17567 17740 17741 17741
1176	15516 16141 16561 19189 19866
1177	15031 15604
1178	15582
1179	17664
1180	15911
1181	17244
